date,gdp_billions,gdp_growth_yoy,unemployment_rate,inflation_yoy
1982-04-01,3331.972,5.357732348637101,9.433333333333334,6.9067953954697225
1982-07-01,3366.322,3.2421244006871186,9.9,5.816473988439297
1982-10-01,3402.561,3.710751404070578,10.666666666666666,4.443654461429092
1983-01-01,3473.413,6.081021237503448,10.366666666666667,3.594080338266381
1983-04-01,3578.848,7.409305960554291,10.133333333333333,3.2997568600208416
1983-07-01,3689.179,9.590793750568128,9.366666666666667,2.5264595425059877
1983-10-01,3794.706,11.524995437260355,8.533333333333333,3.2334921715452714
1984-01-01,3908.054,12.513369415039332,7.866666666666667,4.625850340136073
1984-04-01,4009.601,12.03607976644998,7.433333333333334,4.404841963685291
1984-07-01,4084.25,10.708913826084343,7.433333333333334,4.295704295704272
1984-10-01,4148.551,9.324701307558492,7.3,4.154302670623133
1985-01-01,4230.168,8.242311902547916,7.233333333333333,3.641092327698292
1985-04-01,4294.887,7.115072048316029,7.3,3.607085346215788
1985-07-01,4386.773,7.407063720389306,7.2,3.3524904214559337
1985-10-01,4444.094,7.124005466004868,7.033333333333334,3.5137701804368593
1986-01-01,4507.894,6.565365725427474,7.033333333333334,3.105395232120456
1986-04-01,4545.34,5.831422340098835,7.166666666666667,1.6785825303077484
1986-07-01,4607.669,5.035501039146539,6.966666666666666,1.6682113067655324
1986-10-01,4657.627,4.804871364107077,6.833333333333333,1.3455657492354556
1987-01-01,4722.156,4.753039889580357,6.599999999999999,2.0383328262853606
1987-04-01,4806.16,5.738184602251972,6.266666666666667,3.6991745643534024
1987-07-01,4884.555,6.009242417369842,6.0,4.162868429048916
1987-10-01,5007.994,7.522435781139181,5.833333333333333,4.40555220277612
1988-01-01,5073.372,7.437619595794809,5.7,3.9654144305307115
1988-04-01,5190.036,7.9871664696972156,5.466666666666666,3.979952830188682
1988-07-01,5282.835,8.153864579270786,5.466666666666666,4.142357059509916
1988-10-01,5399.509,7.817800899921212,5.333333333333333,4.306358381502884
1989-01-01,5511.253,8.630965756108555,5.2,4.674505305420129
1989-04-01,5612.463,8.139192098089488,5.233333333333333,5.160192798412244
1989-07-01,5695.365,7.808875348179534,5.233333333333333,4.705882352941182
1989-10-01,5747.237,6.439992969731145,5.366666666666667,4.627320587420347
1990-01-01,5872.701,6.558363406651813,5.3,5.232876712328771
1990-04-01,5960.028,6.192735702667451,5.333333333333333,4.583445672688047
1990-07-01,6015.116,5.614231923678292,5.7,5.5644729802033055
1990-10-01,6004.733,4.480344207138143,6.133333333333333,6.276483050847448
1991-01-01,6035.178,2.766648600022381,6.6000000000000005,5.259047123145022
